Litter type,Block,Plot,Position,Months,Percent N mass remaining
pine,B,9,Buried,18,84.34
pine,B,10,Buried,18,55.14
pine,B,11,Buried,18,63.07
pine,B,12,Buried,18,83.76
,,,,,
pine,C,1,Buried,18,45.82
pine,C,2,Buried,18,43.26
pine,C,3,Buried,18,14.95
pine,C,4,Buried,18,63.87
pine,C,5,Buried,18,85.6
pine,C,6,Buried,18,116.48
pine,C,7,Buried,18,79.43
pine,C,8,Buried,18,87.28
pine,C,9,Buried,18,55.97
pine,C,11,Buried,18,97.01
pine,C,12,Buried,18,38.46
,,,,,
,,,,,
pine,A,1,Buried,24,68.23
pine,A,2,Buried,24,53.11
pine,A,3,Buried,24,29.82
pine,A,5,Buried,24,65.82
pine,A,6,Buried,24,47.29
pine,A,7,Buried,24,32.7
pine,A,8,Buried,24,54.65
pine,A,9,Buried,24,63.44
pine,A,10,Buried,24,26.54
pine,A,11,Buried,24,86.65
,,,,,
,,,,,
pine,B,1,Buried,24,31.99
pine,B,2,Buried,24,19.69
pine,B,3,Buried,24,44.44
pine,B,4,Buried,24,68.43
pine,B,5,Buried,24,37.22
pine,B,6,Buried,24,86.92
pine,B,8,Buried,24,29.94
pine,B,9,Buried,24,55.23
pine,B,12,Buried,24,81.39
,,,,,
pine,C,1,Buried,24,75.3
pine,C,2,Buried,24,97.75
pine,C,3,Buried,24,88.89
pine,C,4,Buried,24,52.16
pine,C,5,Buried,24,45.11
pine,C,6,Buried,24,27.68
pine,C,7,Buried,24,31.25
pine,C,8,Buried,24,46.9
pine,C,9,Buried,24,73.66
pine,C,10,Buried,24,21.59
pine,C,11,Buried,24,41.09
pine,C,12,Buried,24,43.52
,,,,,
,,,,,
pine,A,1,Buried,36,27.96
pine,A,5,Buried,36,33.38
pine,A,7,Buried,36,26.96
pine,A,9,Buried,36,36.5
pine,A,11,Buried,36,65.25
pine,A,12,Buried,36,36.46
,,,,,
pine,B,1,Buried,36,17.28
pine,B,2,Buried,36,58.2
pine,B,4,Buried,36,28.51
pine,B,5,Buried,36,36.51
pine,B,6,Buried,36,16.35
pine,B,9,Buried,36,64.27
pine,B,10,Buried,36,26.38
pine,B,11,Buried,36,47.34
pine,B,12,Buried,36,63.86
,,,,,
pine,C,2,Buried,36,5.82
pine,C,2,Buried,36,9.51
pine,C,3,Buried,36,41.24
pine,C,4,Buried,36,11.47
pine,C,5,Buried,36,10.09
pine,C,7,Buried,36,52.42
pine,C,10,Buried,36,98.86
pine,C,11,Buried,36,61.62
,,,,,
,,,,,
pine,A,2,Buried,48,39.81
pine,A,4,Buried,48,39.51
pine,A,8,Buried,48,69.25
pine,A,9,Buried,48,53.92
pine,A,12,Buried,48,64.22
,,,,,
pine,B,2,Buried,48,46.58
pine,B,5,Buried,48,27.51
pine,B,8,Buried,48,42.83
pine,B,8,Buried,48,65.79
pine,B,9,Buried,48,20.14
pine,B,10,Buried,48,57.95
pine,B,12,Buried,48,19.53
,,,,,
pine,C,3,Buried,48,18.81
pine,C,4,Buried,48,46.36
pine,C,5,Buried,48,35.11
pine,C,7,Buried,48,52.8
pine,C,9,Buried,48,30.65
pine,C,10,Buried,48,38.5
pine,C,11,Buried,48,52.04
pine,C,12,Buried,48,41.89
,,,,,
pine,A,1,Surface,6,121.88
pine,A,2,Surface,6,72.94
pine,A,2,Surface,6,74.25
pine,A,3,Surface,6,106.62
pine,A,4,Surface,6,92.39
pine,A,5,Surface,6,107.24
pine,A,6,Surface,6,104.61
