LitterType,Block,Plot,Position,Months,Percent P mass remaining
pine,A,8,Buried,48,34.28
pine,A,9,Buried,48,78.31
pine,A,12,Buried,48,25.62
,,,,,
pine,B,2,Buried,48,35.26
pine,B,5,Buried,48,43.82
pine,B,8,Buried,48,21.32
pine,B,8,Buried,48,52.41
pine,B,10,Buried,48,69.12
pine,B,12,Buried,48,21.62
,,,,,
pine,C,3,Buried,48,27.76
pine,C,4,Buried,48,50.33
pine,C,5,Buried,48,51.27
pine,C,7,Buried,48,22.87
pine,C,9,Buried,48,19.56
pine,C,10,Buried,48,18.16
pine,C,11,Buried,48,30.84
,,,,,
pine,A,1,Surface,6,59.18
pine,A,2,Surface,6,50.77
pine,A,3,Surface,6,74.86
pine,A,5,Surface,6,75.12
pine,A,6,Surface,6,107.15
pine,A,7,Surface,6,78.5
pine,A,8,Surface,6,147.21
pine,A,9,Surface,6,112.42
pine,A,10,Surface,6,213.73
,,,,,
pine,B,2,Surface,6,65.03
pine,B,3,Surface,6,99.29
pine,B,5,Surface,6,63.83
pine,B,7,Surface,6,62.83
pine,B,8,Surface,6,52.35
pine,B,10,Surface,6,66.3
pine,B,11,Surface,6,66.25
pine,B,11,Surface,6,98.65
pine,B,12,Surface,6,69.56
,,,,,
pine,C,1,Surface,6,42.16
pine,C,2,Surface,6,72.02
pine,C,3,Surface,6,93.37
pine,C,4,Surface,6,64.11
pine,C,4,Surface,6,72.15
pine,C,4,Surface,6,286.48
pine,C,7,Surface,6,60.43
pine,C,8,Surface,6,74.15
pine,C,9,Surface,6,61.99
pine,C,11,Surface,6,42.76
pine,C,12,Surface,6,61.28
,,,,,
,,,,,
pine,A,1,Surface,12,59.01
,,,,,
pine,B,3,Surface,12,38.46
pine,B,4,Surface,12,117.15
pine,B,5,Surface,12,38.98
pine,B,7,Surface,12,47.43
pine,B,8,Surface,12,65.45
pine,B,9,Surface,12,84.96
pine,B,11,Surface,12,91.08
pine,B,12,Surface,12,84.32
,,,,,
pine,C,1,Surface,12,49.96
pine,C,2,Surface,12,42.96
pine,C,2,Surface,12,70.23
pine,C,3,Surface,12,64.18
pine,C,5,Surface,12,41.89
pine,C,5,Surface,12,67.28
pine,C,6,Surface,12,151.08
pine,C,7,Surface,12,42.7
pine,C,8,Surface,12,45.81
pine,C,9,Surface,12,77.82
pine,C,10,Surface,12,76.87
pine,C,11,Surface,12,42.16
,,,,,
,,,,,
pine,A,3,Surface,18,75.24
pine,A,4,Surface,18,50.9
pine,A,5,Surface,18,20.44
pine,A,6,Surface,18,84.09
pine,A,7,Surface,18,42.33
pine,A,8,Surface,18,82.97
pine,A,9,Surface,18,42.02
pine,A,10,Surface,18,98.8
pine,A,11,Surface,18,45.68
pine,A,12,Surface,18,40.01
,,,,,
pine,B,2,Surface,18,41.04
pine,B,4,Surface,18,117.88
pine,B,7,Surface,18,38.81
pine,B,8,Surface,18,57.96
pine,B,11,Surface,18,38.56
,,,,,
pine,C,2,Surface,18,61.64
pine,C,3,Surface,18,41.94
pine,C,4,Surface,18,51.14
pine,C,5,Surface,18,31.45
pine,C,6,Surface,18,42.52
pine,C,7,Surface,18,55.06
pine,C,8,Surface,18,55.58
pine,C,9,Surface,18,25.67
,,,,,
,,,,,
pine,A,1,Surface,24,40.81
pine,A,2,Surface,24,43.93
pine,A,3,Surface,24,59.78
pine,A,4,Surface,24,34.86
pine,A,5,Surface,24,24.27
pine,A,6,Surface,24,52.52
pine,A,7,Surface,24,59.89
pine,A,8,Surface,24,51.86
pine,A,9,Surface,24,53.5
pine,A,10,Surface,24,30.57
pine,A,11,Surface,24,57.31
pine,A,12,Surface,24,33.24
,,,,,
pine,B,1,Surface,24,16.1
pine,B,2,Surface,24,46.62
pine,B,3,Surface,24,68.93
pine,B,6,Surface,24,39.59
pine,B,7,Surface,24,16.08
pine,B,8,Surface,24,137.93
pine,B,9,Surface,24,31.4
pine,B,12,Surface,24,80.21
,,,,,
pine,C,1,Surface,24,28.75
pine,C,2,Surface,24,15.32
pine,C,4,Surface,24,79.79
pine,C,5,Surface,24,119.37
pine,C,6,Surface,24,56.1
pine,C,7,Surface,24,158.81
pine,C,8,Surface,24,55.11
pine,C,9,Surface,24,121.53
pine,C,10,Surface,24,28.57
pine,C,11,Surface,24,16.09
pine,C,12,Surface,24,16.17
,,,,,
,,,,,
pine,A,1,Surface,36,16.57
pine,A,3,Surface,36,52.72
pine,A,3,Surface,36,83.01
pine,A,5,Surface,36,91.71
pine,A,6,Surface,36,25.79
pine,A,7,Surface,36,26.96
pine,A,8,Surface,36,82.63
pine,A,9,Surface,36,51.69
pine,A,10,Surface,36,56.71
pine,A,11,Surface,36,43.61
pine,A,12,Surface,36,42.12
,,,,,
pine,B,1,Surface,36,39.28
pine,B,2,Surface,36,55.22
pine,B,3,Surface,36,65.1
pine,B,4,Surface,36,34.46
pine,B,5,Surface,36,156.47
pine,B,6,Surface,36,91.13
pine,B,8,Surface,36,54.25
pine,B,9,Surface,36,30.17
pine,B,10,Surface,36,83.89
pine,B,11,Surface,36,67.74
pine,B,12,Surface,36,60.12
,,,,,
pine,C,3,Surface,36,24.17
pine,C,4,Surface,36,42.7
pine,C,5,Surface,36,148.92
pine,C,8,Surface,36,112.9
pine,C,9,Surface,36,50.51
pine,C,10,Surface,36,40.58
pine,C,12,Surface,36,117.09
,,,,,
,,,,,
pine,A,1,Surface,48,65.86
pine,A,2,Surface,48,38.81
pine,A,3,Surface,48,132.91
pine,A,4,Surface,48,86.37
pine,A,5,Surface,48,86.97
pine,A,7,Surface,48,39.8
